,Unnamed: 0,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
125,125,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59
126,126,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84
127,127,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67
128,128,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70
129,129,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62
130,130,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86
131,131,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172
132,132,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163
133,133,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112
134,134,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69
135,135,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48
136,136,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52
137,137,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23
138,138,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17
139,139,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7
140,140,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1
141,141,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1
142,142,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5
143,143,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34
144,144,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84
145,145,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210
146,146,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134
147,147,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63
148,148,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67
149,149,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59
150,150,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73
151,151,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50
152,152,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72
153,153,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87
154,154,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187
155,155,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123
156,156,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95
157,157,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51
158,158,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39
159,159,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36
160,160,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15
161,161,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25
162,162,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16
163,163,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16
164,164,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7
165,165,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1
166,166,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5
167,167,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2
168,168,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9
169,169,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15
170,170,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20
171,171,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61
172,172,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62
173,173,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98
174,174,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102
175,175,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95
176,176,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74
177,177,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76
178,178,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69
179,179,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55
180,180,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30
181,181,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28
182,182,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37
183,183,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34
184,184,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22
185,185,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25
186,186,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12
187,187,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11
188,188,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4
189,189,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1
190,190,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1
191,191,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1
192,192,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6
193,193,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10
194,194,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19
195,195,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49
196,196,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49
197,197,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83
198,198,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75
199,199,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72
200,200,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82
201,201,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92
202,202,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62
203,203,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48
204,204,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41
205,205,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38
206,206,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20
207,207,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15
208,208,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,6
209,209,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5
210,210,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1
211,211,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3
212,212,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1
213,213,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3
214,214,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3
215,215,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31
216,216,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77
217,217,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188
218,218,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94
219,219,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31
220,220,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30
221,221,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52
222,222,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54
223,223,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,47
224,224,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,45
225,225,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74
226,226,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178
227,227,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155
228,228,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95
229,229,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74
230,230,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38
231,231,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24
232,232,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18
233,233,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,12
234,234,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3
235,235,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,0,3,3
236,236,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,6
237,237,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27
238,238,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0.0,2,97,99
239,239,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,217
240,240,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,3,127,130
241,241,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,54
242,242,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,35
243,243,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55,57
244,244,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,6,46,52
245,245,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,3,60,63
246,246,1,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,2,45,47
247,247,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,4,72,76
248,248,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,6,130,136
249,249,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,1,94,95
250,250,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0.0,0,51,51
251,251,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,0,32,32
252,252,1,0,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,0,20,20
253,253,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,1,28,29
254,254,1,0,1,23,0,2,1,3,0.16,0.197,0.93,0.0896,1,18,19
255,255,1,0,1,0,0,3,1,2,0.16,0.197,0.86,0.0896,0,7,7
256,256,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,0,6,6
257,257,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,0,1,1
258,258,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,0,5,5
259,259,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,0,16,16
260,260,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,0,54,54
261,261,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,3,125,128
262,262,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,3,78,81
263,263,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,0,39,39
264,264,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,3,32,35
265,265,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,3,52,55
266,266,1,0,1,13,0,3,1,1,0.22,0.197,0.44,0.3582,0,49,49
267,267,1,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,0,44,44
268,268,1,0,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,1,48,49
269,269,1,0,1,16,0,3,1,1,0.22,0.197,0.44,0.3284,5,63,68
270,270,1,0,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,0,139,139
271,271,1,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,2,135,137
272,272,1,0,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,1,82,83
273,273,1,0,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,2,54,56
274,274,1,0,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284,0,57,57
275,275,1,0,1,22,0,3,1,1,0.16,0.1212,0.55,0.4478,1,32,33
276,276,1,0,1,23,0,3,1,1,0.14,0.1061,0.59,0.4179,1,19,20
277,277,1,0,1,0,0,4,1,1,0.14,0.1212,0.59,0.2836,1,6,7
278,278,1,0,1,1,0,4,1,1,0.14,0.1212,0.5,0.2836,0,2,2
279,279,1,0,1,2,0,4,1,1,0.14,0.1212,0.5,0.3582,0,2,2
280,280,1,0,1,3,0,4,1,1,0.14,0.1212,0.5,0.3284,0,3,3
281,281,1,0,1,4,0,4,1,1,0.14,0.1212,0.5,0.2537,0,4,4
282,282,1,0,1,5,0,4,1,1,0.14,0.1212,0.5,0.2985,0,3,3
283,283,1,0,1,6,0,4,1,1,0.12,0.1515,0.54,0.1343,0,28,28
284,284,1,0,1,7,0,4,1,1,0.12,0.1515,0.54,0.1343,0,72,72
285,285,1,0,1,8,0,4,1,1,0.14,0.1364,0.5,0.194,5,197,202
286,286,1,0,1,9,0,4,1,1,0.14,0.1212,0.5,0.3284,2,137,139
287,287,1,0,1,10,0,4,1,2,0.16,0.1364,0.5,0.3582,2,36,38
288,288,1,0,1,11,0,4,1,2,0.2,0.1667,0.44,0.4478,4,33,37
289,289,1,0,1,12,0,4,1,1,0.2,0.1667,0.44,0.4179,3,49,52
290,290,1,0,1,13,0,4,1,1,0.22,0.197,0.41,0.4478,2,81,83
291,291,1,0,1,14,0,4,1,1,0.22,0.197,0.41,0.3881,3,39,42
292,292,1,0,1,15,0,4,1,1,0.24,0.2121,0.38,0.2985,5,55,60
293,293,1,0,1,16,0,4,1,1,0.24,0.2121,0.38,0.3582,2,76,78
294,294,1,0,1,17,0,4,1,1,0.2,0.1818,0.4,0.2836,4,158,162
295,295,1,0,1,18,0,4,1,1,0.2,0.1818,0.4,0.3284,3,141,144
296,296,1,0,1,19,0,4,1,1,0.16,0.1515,0.47,0.2537,1,98,99
297,297,1,0,1,20,0,4,1,1,0.16,0.1515,0.47,0.2239,0,64,64
298,298,1,0,1,21,0,4,1,1,0.14,0.1212,0.46,0.2985,0,40,40
299,299,1,0,1,22,0,4,1,1,0.14,0.1212,0.46,0.3284,0,30,30
300,300,1,0,1,23,0,4,1,1,0.12,0.1364,0.5,0.194,1,14,15
301,301,1,0,1,0,0,5,1,1,0.12,0.1364,0.5,0.194,0,14,14
302,302,1,0,1,1,0,5,1,1,0.1,0.1212,0.54,0.1642,0,5,5
303,303,1,0,1,2,0,5,1,1,0.1,0.1212,0.54,0.1343,0,1,1
304,304,1,0,1,3,0,5,1,1,0.1,0.1364,0.54,0.1045,0,1,1
305,305,1,0,1,5,0,5,1,1,0.1,0.1364,0.54,0.0896,0,8,8
306,306,1,0,1,6,0,5,1,1,0.1,0.1818,0.54,0.0,0,17,17
307,307,1,0,1,7,0,5,1,1,0.1,0.1212,0.74,0.1642,0,70,70
308,308,1,0,1,8,0,5,1,1,0.12,0.1667,0.68,0.0,2,156,158
309,309,1,0,1,9,0,5,1,1,0.14,0.1515,0.69,0.1343,0,117,117
310,310,1,0,1,10,0,5,1,1,0.18,0.1818,0.55,0.194,4,40,44
311,311,1,0,1,11,0,5,1,1,0.18,0.1667,0.51,0.2836,6,47,53
312,312,1,0,1,12,0,5,1,1,0.2,0.197,0.44,0.2537,2,59,61
313,313,1,0,1,13,0,5,1,1,0.22,0.197,0.37,0.3881,4,73,77
314,314,1,0,1,14,0,5,1,1,0.22,0.2121,0.41,0.2836,5,59,64
315,315,1,0,1,15,0,5,1,1,0.24,0.2424,0.38,0.1642,9,59,68
316,316,1,0,1,16,0,5,1,1,0.22,0.2424,0.41,0.1045,3,87,90
